Country,Year,Food_Price_Index,Inflation
DOM,2013,115.005241966313,115.005241966313
DOM,2012,109.705426598742,109.705426598742
DOM,2011,105.796768092065,105.796768092065
DOM,2010,100.0,100.0
ECU,2023,131.021069370666,131.021069370666
ECU,2022,128.180979253477,128.180979253477
ECU,2021,123.886850743311,123.886850743311
ECU,2020,123.721989477427,123.721989477427
ECU,2019,124.142674729473,124.142674729473
ECU,2018,123.813315813595,123.813315813595
ECU,2017,124.09140868848,124.09140868848
ECU,2016,123.575683382786,123.575683382786
ECU,2015,121.476252276892,121.476252276892
ECU,2014,116.841560903266,116.841560903266
ECU,2013,112.793165848571,112.793165848571
ECU,2012,109.804532676033,109.804532676033
ECU,2011,104.474532657958,104.474532657958
ECU,2010,100.0,100.0
EGY,2023,486.342894474661,486.342894474661
EGY,2022,363.254813484487,363.254813484487
EGY,2021,318.936481308266,318.936481308266
EGY,2020,303.131077181708,303.131077181708
EGY,2019,288.572774376263,288.572774376263
EGY,2018,264.375055382559,264.375055382559
EGY,2017,231.094115427901,231.094115427901
EGY,2016,178.441948479442,178.441948479442
EGY,2015,156.784372636979,156.784372636979
EGY,2014,142.052800661666,142.052800661666
EGY,2013,129.056530012879,129.056530012879
EGY,2012,117.892445724817,117.892445724817
EGY,2011,110.064925987482,110.064925987482
EGY,2010,100.0,100.0
SLV,2023,127.883032020654,127.883032020654
SLV,2022,122.910624989713,122.910624989713
SLV,2021,114.656913864201,114.656913864201
SLV,2020,110.815038640419,110.815038640419
SLV,2019,111.228352310936,111.228352310936
SLV,2018,111.144633577093,111.144633577093
SLV,2017,109.945860865916,109.945860865916
SLV,2016,108.843974500215,108.843974500215
SLV,2015,108.19045106832,108.19045106832
SLV,2014,108.987569242944,108.987569242944
SLV,2013,107.75768266948,107.75768266948
SLV,2012,106.947375362701,106.947375362701
SLV,2011,105.128923766816,105.128923766816
SLV,2010,100.0,100.0
GNQ,2022,136.377245508982,136.377245508982
GNQ,2021,130.14745508982,130.14745508982
GNQ,2020,130.273952095808,130.273952095808
GNQ,2019,124.346722780622,124.346722780622
GNQ,2018,122.472555526802,122.472555526802
GNQ,2017,121.187874251497,121.187874251497
GNQ,2016,120.292471529847,120.292471529847
GNQ,2015,118.617662311179,118.617662311179
GNQ,2014,116.661676646707,116.661676646707
GNQ,2013,111.84131736527,111.84131736527
GNQ,2012,108.637724550898,108.637724550898
GNQ,2011,104.805389221557,104.805389221557
GNQ,2010,100.0,100.0
EST,2023,165.860163840732,165.860163840732
EST,2022,151.94333206325,151.94333206325
EST,2021,127.257572871023,127.257572871023
EST,2020,121.599352257573,121.599352257573
EST,2019,122.14231282149,122.14231282149
EST,2018,119.422747189941,119.422747189941
EST,2017,115.455324823776,115.455324823776
EST,2016,111.640312440465,111.640312440465
